lecture_id,slide_id,status,onchain_hash,computed_hash,onchain_uri,registrant,timestamp
1,1,ok,0xf52703a06a60e3d18ffde19f6fe6bc9fe640a77db202d7855c7b3f58fba6798d,0xf52703a06a60e3d18ffde19f6fe6bc9fe640a77db202d7855c7b3f58fba6798d,Lecture 1/Slide1.json,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,1764817224
1,2,ok,0xb4ceb7393c4989e029365ff624b4a8135f1752c55295f551b62ac996d7c2eb4c,0xb4ceb7393c4989e029365ff624b4a8135f1752c55295f551b62ac996d7c2eb4c,Lecture 1/Slide2.json,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,1764817225
1,3,ok,0x5887e5a1c43cc208e4dc461eb7aa52919556c28cd1ab60a208192afbd385a90d,0x5887e5a1c43cc208e4dc461eb7aa52919556c28cd1ab60a208192afbd385a90d,Lecture 1/Slide3.json,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,1764817226
1,4,ok,0xf5cbe01e1456b91c560cc23c99e9305c36b0bdb3a8f883016bbcf8067851e107,0xf5cbe01e1456b91c560cc23c99e9305c36b0bdb3a8f883016bbcf8067851e107,Lecture 1/Slide4.json,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,1764817227
1,5,ok,0xdaad22e0933fc43e209df4c5908228cfa62027f5b072e6ce9246208c5a0e8c37,0xdaad22e0933fc43e209df4c5908228cfa62027f5b072e6ce9246208c5a0e8c37,Lecture 1/Slide5.json,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,1764817228
1,6,ok,0xaee963100ec537773b908a8980fc3154c1b09bc4a1092ac742467722d0a09ae5,0xaee963100ec537773b908a8980fc3154c1b09bc4a1092ac742467722d0a09ae5,Lecture 1/Slide6.json,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,1764817229
1,7,ok,0x79244801c329f43f955ecc6e22119d5f9b9214ed1cef54a2016a4c99c46e978f,0x79244801c329f43f955ecc6e22119d5f9b9214ed1cef54a2016a4c99c46e978f,Lecture 1/Slide7.json,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,1764817230
1,8,ok,0xaa9118acf4ee25e92289688a175e2cd1f798dd98c6b07aecc088e693322804b3,0xaa9118acf4ee25e92289688a175e2cd1f798dd98c6b07aecc088e693322804b3,Lecture 1/Slide8.json,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,1764817231
1,9,ok,0x64e4d8b1a6e2068c719f00cf3472f885afac59b49d951631ffe29fcae023114e,0x64e4d8b1a6e2068c719f00cf3472f885afac59b49d951631ffe29fcae023114e,Lecture 1/Slide9.json,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,1764817232
1,10,ok,0x0511307458c0a7f238b8e302aab98b7caf8fed05439ba0d679b1f0f367ed2f63,0x0511307458c0a7f238b8e302aab98b7caf8fed05439ba0d679b1f0f367ed2f63,Lecture 1/Slide10.json,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,1764817233
1,11,ok,0x13b646d752aa9b4a822da4312877114cee7cb1dad1c42d12564ea34751b65be7,0x13b646d752aa9b4a822da4312877114cee7cb1dad1c42d12564ea34751b65be7,Lecture 1/Slide11.json,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,1764817234
1,12,ok,0x22751014bd28e6a0c918e18f5332a55cdf095569770e65c9b403bc49e116320e,0x22751014bd28e6a0c918e18f5332a55cdf095569770e65c9b403bc49e116320e,Lecture 1/Slide12.json,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,1764817235
1,13,ok,0xcdce5981a2ad1fc30fd1903d27c75a65d9d71eb6799c0d6e8a8dfc34a0a4d2ae,0xcdce5981a2ad1fc30fd1903d27c75a65d9d71eb6799c0d6e8a8dfc34a0a4d2ae,Lecture 1/Slide13.json,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,1764817236
1,14,ok,0x0e81fdfe0d85f1b3d77c6fea63bc6d0d054d7958e13a3f567e520cc365845444,0x0e81fdfe0d85f1b3d77c6fea63bc6d0d054d7958e13a3f567e520cc365845444,Lecture 1/Slide14.json,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,1764817237
1,15,ok,0xfcc89933b77fab4f35c436522f647bf4fd4892e3827324a8df015b64f6f0118c,0xfcc89933b77fab4f35c436522f647bf4fd4892e3827324a8df015b64f6f0118c,Lecture 1/Slide15.json,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,1764817238
1,16,ok,0xd22ec2efd786c70993afa4a43fcc8baa695d7c39d46c09a0dde6597f7333123c,0xd22ec2efd786c70993afa4a43fcc8baa695d7c39d46c09a0dde6597f7333123c,Lecture 1/Slide16.json,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,1764817239
1,17,ok,0xa574085e77194e17ce1c828023c2f8cc169d9167a703e11d184faee8fa9a239f,0xa574085e77194e17ce1c828023c2f8cc169d9167a703e11d184faee8fa9a239f,Lecture 1/Slide17.json,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,1764817240
